source,target,weight,conversation
953,1323,1,Education policies
1789,1707,1,Global trade dynamics
1175,1059,1,Healthcare reforms
1329,1559,1,Economic strategies
1804,1898,1,Blockchain technology
1622,1520,1,Space exploration
1200,1202,1,Sustainable farming
1449,1836,1,Global trade dynamics
1156,1605,1,Blockchain technology
1149,1559,1,Blockchain technology
1173,1180,1,Space exploration
1549,1412,1,Renewable energy
1638,942,1,Climate change talk
1448,1786,1,Sustainable farming
1768,1092,1,Space exploration
927,1791,1,Healthcare reforms
1287,1516,1,Blockchain technology
1044,1235,1,Healthcare reforms
1100,1279,1,Space exploration
1366,1472,1,Sustainable farming
1374,483,1,Space exploration
1768,1610,1,Blockchain technology
1021,1322,1,Sustainable farming
923,1505,1,Education policies
1761,1566,1,Space exploration
1211,1835,1,AI technology debate
896,1479,1,Renewable energy
942,1215,1,Blockchain technology
1199,1539,1,Space exploration
1153,1796,1,Sustainable farming
1355,1236,1,Climate change talk
1899,1884,1,Sustainable farming
1425,475,1,Global trade dynamics
1298,1786,1,AI technology debate
366,930,1,AI technology debate
1230,1621,1,Education policies
1437,1337,1,Renewable energy
1801,1695,1,Renewable energy
1795,1839,1,Healthcare reforms
1632,1156,1,Blockchain technology
953,1370,1,Blockchain technology
1059,1340,1,AI technology debate
1448,1322,1,Blockchain technology
1871,954,1,Renewable energy
1718,1846,1,Climate change talk
1582,1786,1,Renewable energy
1298,1438,1,Economic strategies
1060,1859,1,Space exploration
1816,1619,1,Climate change talk
1431,1734,1,AI technology debate
1621,1516,1,Climate change talk
944,1428,1,Space exploration
1097,958,1,Climate change talk
1488,1471,1,AI technology debate
1613,1250,1,Renewable energy
1833,1707,1,Sustainable farming
1085,1518,1,Space exploration
1163,1040,1,Education policies
1900,1370,1,Sustainable farming
1819,1557,1,Space exploration
1864,1329,1,Renewable energy
1754,1557,1,Blockchain technology
1813,1135,1,Global trade dynamics
908,1537,1,Healthcare reforms
1612,1652,1,Space exploration
1389,1768,1,AI technology debate
1740,1122,1,Climate change talk
1539,1352,1,Space exploration
1483,959,1,Sustainable farming
1569,1903,1,Climate change talk
641,1625,1,Education policies
1864,1040,1,Blockchain technology
1444,1876,1,Climate change talk
1192,1129,1,Healthcare reforms
1078,1420,1,Healthcare reforms
1360,1579,1,Global trade dynamics
1794,1334,1,Blockchain technology
1716,1899,1,Climate change talk
1765,1334,1,Blockchain technology
1488,1449,1,Healthcare reforms
1703,1686,1,Blockchain technology
924,1260,1,Blockchain technology
1285,916,1,Economic strategies
1714,952,1,Climate change talk
1332,1210,1,Education policies
1459,1680,1,Sustainable farming
1222,1124,1,Renewable energy
1399,1377,1,Space exploration
975,1060,1,Healthcare reforms
1256,926,1,AI technology debate
1864,1707,1,Space exploration
1345,1298,1,Space exploration
1126,1557,1,Global trade dynamics
1596,1432,1,Economic strategies
1235,1414,1,Education policies
1752,1344,1,Education policies
1402,1101,1,Education policies
1837,1424,1,Sustainable farming
1730,1074,1,Education policies
980,1622,1,Healthcare reforms
1341,1211,1,Renewable energy
1868,1488,1,Global trade dynamics
1086,1391,1,Global trade dynamics
1771,1685,1,AI technology debate
1039,1040,1,Climate change talk
1126,1835,1,Education policies
1081,896,1,Space exploration
1391,1003,1,Economic strategies
1078,1823,1,Healthcare reforms
1471,1180,1,Healthcare reforms
1191,1124,1,Blockchain technology
1721,1584,1,Renewable energy
1832,1083,1,AI technology debate
1317,929,1,Global trade dynamics
946,960,1,Blockchain technology
1380,1662,1,Space exploration
1689,1622,1,Climate change talk
932,1238,1,Climate change talk
1608,997,1,Renewable energy
1868,1391,1,Education policies
1530,1471,1,Global trade dynamics
1583,1099,1,Sustainable farming
1291,1741,1,Space exploration
1129,1279,1,AI technology debate
1391,1488,1,Climate change talk
921,1735,1,Global trade dynamics
1734,1222,1,Healthcare reforms
1473,1064,1,Blockchain technology
483,641,1,Education policies
1760,1070,1,Economic strategies
1132,1367,1,Renewable energy
1235,1432,1,Space exploration
1251,1307,1,Sustainable farming
1724,1149,1,Sustainable farming
1302,1086,1,Healthcare reforms
1014,1108,1,Economic strategies
1754,1528,1,Education policies
1336,1547,1,Renewable energy
1573,988,1,Space exploration
1663,1290,1,Education policies
1705,1187,1,Global trade dynamics
1190,1345,1,Global trade dynamics
1436,1881,1,AI technology debate
1799,1471,1,Healthcare reforms
1688,1352,1,Climate change talk
1222,1816,1,Blockchain technology
1515,898,1,Renewable energy
1328,1511,1,Global trade dynamics
896,1587,1,Space exploration
1380,1331,1,Sustainable farming
1423,1872,1,Blockchain technology
1864,1842,1,Education policies
1782,1431,1,Sustainable farming
1213,1005,1,Space exploration
1502,1636,1,Global trade dynamics
1750,991,1,AI technology debate
1604,1497,1,Sustainable farming
1341,1376,1,Global trade dynamics
1166,1014,1,Economic strategies
997,1199,1,Sustainable farming
1793,1707,1,Global trade dynamics
1459,1857,1,Global trade dynamics
921,1026,1,Blockchain technology
1716,1018,1,Healthcare reforms
1600,526,1,Blockchain technology
1793,1117,1,Economic strategies
1380,1898,1,Renewable energy
1054,1540,1,Climate change talk
1643,1184,1,Economic strategies
997,1551,1,Renewable energy
1842,1004,1,Economic strategies
1849,1622,1,AI technology debate
1344,1746,1,Blockchain technology
1305,1663,1,AI technology debate
1114,1487,1,Blockchain technology
1687,1593,1,Sustainable farming
1777,563,1,Space exploration
1360,1187,1,Climate change talk
1478,1743,1,Education policies
1609,1793,1,Sustainable farming
1329,1460,1,Healthcare reforms
1139,1876,1,Global trade dynamics
1219,1813,1,Blockchain technology
1080,353,1,Renewable energy
1542,1717,1,Economic strategies
1675,1761,1,Education policies
1448,1347,1,Education policies
1059,1707,1,AI technology debate
1675,1149,1,Renewable energy
1796,1662,1,AI technology debate
1222,1399,1,Climate change talk
1820,1508,1,AI technology debate
1882,914,1,AI technology debate
1041,1496,1,Sustainable farming
924,1228,1,Global trade dynamics
1024,1370,1,Global trade dynamics
1724,1390,1,Sustainable farming
1648,1232,1,Global trade dynamics
1064,1342,1,Global trade dynamics
1886,1800,1,Climate change talk
1317,1098,1,Climate change talk
1291,1086,1,Climate change talk
1802,1629,1,Blockchain technology
1554,927,1,AI technology debate
1449,1126,1,Global trade dynamics
947,1305,1,Space exploration
1028,1757,1,Blockchain technology
1243,978,1,Sustainable farming
1613,1376,1,Space exploration
993,1685,1,Education policies
1367,1849,1,Climate change talk
1753,1361,1,Blockchain technology
1663,1632,1,Sustainable farming
1783,1469,1,Renewable energy
1746,1172,1,Economic strategies
1011,1072,1,Economic strategies
1833,1242,1,Economic strategies
925,1516,1,Global trade dynamics
1610,1643,1,Education policies
1746,1600,1,Global trade dynamics
1786,942,1,Global trade dynamics
1173,897,1,Economic strategies
1207,1809,1,Education policies
1435,1492,1,Global trade dynamics
1509,1520,1,Education policies
1472,1783,1,Blockchain technology
1132,1079,1,Renewable energy
1242,1181,1,Healthcare reforms
1615,1433,1,Sustainable farming
1551,1617,1,Space exploration
1589,1026,1,Space exploration
1467,1846,1,Climate change talk
1129,1404,1,Economic strategies
1522,1079,1,Climate change talk
1489,1495,1,Education policies
1669,1184,1,Economic strategies
957,1158,1,Healthcare reforms
1570,921,1,Sustainable farming
1129,1100,1,Space exploration
1836,1485,1,Renewable energy
1389,1377,1,Space exploration
1020,1066,1,Healthcare reforms
1348,1630,1,Healthcare reforms
1415,949,1,Climate change talk
1428,1815,1,Space exploration
968,999,1,Global trade dynamics
1505,996,1,Healthcare reforms
641,629,1,Global trade dynamics
1617,1185,1,Blockchain technology
1163,1185,1,Education policies
1826,1391,1,Climate change talk
1692,566,1,Healthcare reforms
1377,1447,1,Economic strategies
1067,1423,1,Climate change talk
1532,1491,1,Education policies
1727,1418,1,Climate change talk
1167,1246,1,Education policies
1107,1516,1,Education policies
896,1115,1,Economic strategies
1645,1400,1,Global trade dynamics
1529,1630,1,Blockchain technology
596,1322,1,Education policies
1408,915,1,Economic strategies
1112,1620,1,Education policies
1222,1864,1,Global trade dynamics
1588,1719,1,Education policies
1714,1516,1,Blockchain technology
1423,1871,1,Space exploration
1899,1381,1,Global trade dynamics
1043,955,1,Space exploration
1192,1682,1,Blockchain technology
1524,1752,1,Renewable energy
1431,1888,1,Renewable energy
1099,1907,1,Blockchain technology
946,1153,1,Blockchain technology
1766,1870,1,Climate change talk
1231,1404,1,Renewable energy
1816,1003,1,Space exploration
1322,957,1,Education policies
1377,1078,1,Economic strategies
1132,997,1,Sustainable farming
1717,1652,1,AI technology debate
960,1571,1,AI technology debate
905,1536,1,AI technology debate
1789,1547,1,Renewable energy
1294,1427,1,Blockchain technology
1083,1612,1,Blockchain technology
1123,1449,1,Sustainable farming
947,1637,1,Renewable energy
1243,1730,1,Climate change talk
1637,1768,1,Renewable energy
1669,1290,1,AI technology debate
1676,1144,1,Education policies
1613,1608,1,Climate change talk
1597,1532,1,Climate change talk
992,963,1,Global trade dynamics
934,1471,1,Sustainable farming
1877,1799,1,AI technology debate
1849,1238,1,Education policies
1509,1399,1,Space exploration
1040,1288,1,Sustainable farming
1042,1366,1,Renewable energy
1345,896,1,Blockchain technology
1621,1538,1,Sustainable farming
1706,1502,1,Space exploration
1886,1107,1,Climate change talk
1393,1730,1,Healthcare reforms
1189,1727,1,Blockchain technology
1668,1589,1,Education policies
1146,925,1,Healthcare reforms
1537,1535,1,Renewable energy
1296,1109,1,Healthcare reforms
1033,1307,1,Climate change talk
1491,1589,1,Renewable energy
1186,1837,1,Space exploration
939,1356,1,Healthcare reforms
1599,1901,1,Blockchain technology
1018,1277,1,Renewable energy
1841,1423,1,Global trade dynamics
1312,1590,1,Healthcare reforms
1092,1214,1,Blockchain technology
1003,1075,1,Sustainable farming
1880,1378,1,AI technology debate
1608,1714,1,Sustainable farming
1571,1447,1,Space exploration
1610,1813,1,Global trade dynamics
1446,1882,1,Renewable energy
1153,1449,1,Space exploration
1131,1304,1,Space exploration
1467,1823,1,Space exploration
1757,1868,1,Economic strategies
1584,1302,1,AI technology debate
1821,1683,1,Blockchain technology
897,1513,1,Blockchain technology
1597,1800,1,Education policies
1331,1083,1,Blockchain technology
1391,1868,1,Economic strategies
1603,1623,1,Global trade dynamics
1142,1844,1,Sustainable farming
1163,1456,1,Education policies
1824,1273,1,Climate change talk
1120,1462,1,Blockchain technology
1420,1864,1,Sustainable farming
1185,1488,1,Space exploration
1180,1175,1,Renewable energy
1284,1899,1,Blockchain technology
1184,1522,1,Sustainable farming
1379,1576,1,Climate change talk
1516,1003,1,Space exploration
1849,1076,1,Economic strategies
1359,1557,1,Healthcare reforms
1688,925,1,Space exploration
1160,1669,1,Economic strategies
1250,906,1,Climate change talk
1445,951,1,Global trade dynamics
1804,1734,1,AI technology debate
1423,1014,1,Education policies
1623,1597,1,Blockchain technology
1661,1382,1,Renewable energy
1282,1324,1,Renewable energy
1613,921,1,Renewable energy
1691,1347,1,Space exploration
1288,1040,1,Economic strategies
1606,1113,1,Education policies
1707,1416,1,Space exploration
1335,1153,1,Economic strategies
1159,1738,1,Renewable energy
1047,1902,1,Economic strategies
1721,1375,1,Blockchain technology
1707,1238,1,Education policies
1611,1120,1,Education policies
1513,1272,1,Economic strategies
1146,1135,1,Economic strategies
1520,1377,1,Space exploration
1576,1231,1,Sustainable farming
1715,1345,1,Renewable energy
1080,1616,1,Sustainable farming
1420,1048,1,Economic strategies
1126,1175,1,Renewable energy
1622,1849,1,Space exploration
1530,1391,1,AI technology debate
1911,1337,1,Renewable energy
1367,1879,1,Space exploration
1798,958,1,Economic strategies
1132,1083,1,Economic strategies
1158,902,1,Climate change talk
1376,947,1,Healthcare reforms
966,982,1,AI technology debate
1277,1231,1,Economic strategies
1589,1621,1,Sustainable farming
1214,1376,1,Healthcare reforms
1112,1746,1,AI technology debate
1209,1757,1,Space exploration
1404,1257,1,Space exploration
1427,1767,1,Sustainable farming
1192,1345,1,Economic strategies
1338,1109,1,Education policies
1668,1712,1,Sustainable farming
1500,1634,1,Education policies
1609,1029,1,Healthcare reforms
1205,1722,1,Space exploration
993,1877,1,Global trade dynamics
1333,1468,1,Education policies
1730,1390,1,Climate change talk
980,1888,1,Economic strategies
1746,1135,1,Global trade dynamics
1604,1238,1,Economic strategies
1485,946,1,Renewable energy
1410,1866,1,Climate change talk
1192,1655,1,Space exploration
1542,1832,1,Education policies
1895,1601,1,Renewable energy
1583,1764,1,Education policies
1024,1352,1,AI technology debate
1519,1688,1,Education policies
1746,1456,1,AI technology debate
1267,1181,1,Education policies
1628,1231,1,Climate change talk
1573,1292,1,Space exploration
1768,1589,1,Healthcare reforms
1060,1100,1,Blockchain technology
1339,1827,1,Renewable energy
1805,897,1,AI technology debate
1570,1359,1,Blockchain technology
1603,1509,1,AI technology debate
1819,1618,1,Climate change talk
1491,1849,1,AI technology debate
1271,1330,1,Global trade dynamics
1114,1744,1,Renewable energy
1156,1845,1,Climate change talk
1572,1209,1,Climate change talk
1622,1753,1,Blockchain technology
1888,1238,1,Education policies
1406,1261,1,AI technology debate
484,1536,1,Education policies
1153,1902,1,Economic strategies
1710,1528,1,Sustainable farming
938,1314,1,Climate change talk
1310,924,1,Climate change talk
1184,1367,1,Economic strategies
1563,1076,1,Renewable energy
1080,1543,1,Space exploration
991,1177,1,AI technology debate
1694,1831,1,Healthcare reforms
1078,1390,1,Economic strategies
1565,1671,1,Global trade dynamics
1412,1010,1,Renewable energy
932,1399,1,Blockchain technology
1750,1730,1,AI technology debate
1823,1289,1,Blockchain technology
1246,1041,1,Sustainable farming
1783,1246,1,AI technology debate
1554,1334,1,Global trade dynamics
1720,1345,1,Space exploration
1691,1628,1,Space exploration
1075,1367,1,Blockchain technology
1540,1652,1,Sustainable farming
1158,1129,1,Climate change talk
1102,1893,1,Renewable energy
1589,1272,1,AI technology debate
1207,1886,1,Sustainable farming
1645,1677,1,Renewable energy
1665,1199,1,Blockchain technology
1018,1231,1,Global trade dynamics
1712,1665,1,Sustainable farming
1393,1329,1,Sustainable farming
1459,1426,1,Renewable energy
1017,1589,1,Blockchain technology
1504,1159,1,Renewable energy
1846,946,1,Renewable energy
1319,1097,1,Education policies
1770,1109,1,Sustainable farming
1714,1613,1,AI technology debate
1800,1083,1,Economic strategies
1230,1484,1,Sustainable farming
1185,1269,1,AI technology debate
1743,1531,1,Climate change talk
1721,1431,1,Renewable energy
1028,1614,1,Renewable energy
1845,1769,1,Sustainable farming
901,1548,1,Climate change talk
1815,1709,1,Renewable energy
1017,1879,1,Space exploration
1766,1695,1,Blockchain technology
1655,957,1,Renewable energy
1204,1489,1,Blockchain technology
1375,1735,1,Space exploration
1439,1185,1,Renewable energy
1809,959,1,Blockchain technology
1175,1621,1,Global trade dynamics
1622,1714,1,Global trade dynamics
1714,1737,1,Space exploration
1198,1471,1,Healthcare reforms
1235,1190,1,Education policies
1622,1175,1,Sustainable farming
1669,1622,1,Economic strategies
1350,1036,1,Climate change talk
1370,1809,1,Blockchain technology
1574,915,1,Space exploration
1493,1733,1,Climate change talk
1290,1559,1,Renewable energy
1685,1250,1,Education policies
637,1192,1,Space exploration
